Model,RMSE,MAE,R2
XGBoost,10.11686895217847,6.0886360078859445,0.9110716435264575
CatBoost,11.761701138193622,7.52573907246843,0.8798044755122101
AdaBoost,17.575391946116792,13.095728147640322,0.7316151140424703
